Station Code,Station Name,ICS Code,Postcode
"ZLG","ZLG","Ladbroke Grove","940GZZLULAD","W106HJ"
"ZLN","LAM","Lambeth North","940GZZLULBN","SE17XG"
"ZLR","ZLR","Latimer Road","940GZZLULRD","W106SZ"
"ZLW","Whitechapel","910GWCHAPEL","E15BZ"
"ZLY","LEY","Leyton","940GZZLULYN","E105PS"
"ZMA","MAR","Marble Arch","940GZZLUMBA","W1R1DD"
"ZMC","ZMC","Mudchute","940GZZDLMUD","E149UW"
"ZME","MLE","Mile End","940GZZLUMED","E34DH"
"ZMH","MAN","Mansion House","940GZZLUMSH","EC4N6JD"
"ZML","MHE","Mill Hill East","940GZZLUMHL","NW71BS"
"ZMM","MON","Monument","940GZZLUBNK","EC4R9AA"
"ZMN","MCR","Mornington Crescent","940GZZLUMTC","NW12JA"
"ZMO","MOR","Morden","940GZZLUMDN","SM45AZ"
"ZMP","MPK","Moor Park","940GZZLUMPK","HA62JQ"
"ZMR","MNR","Manor House","940GZZLUMRH","N41BZ"
"ZMV","MDV","Maida Vale","940GZZLUMVL","W91JS"
"ZNA","NAC","North Acton","940GZZLUNAN","W36UP"
"ZND","NWD","Northwood","940GZZLUNOW","HA62XL"
"ZNE","NEL","North Ealing","940GZZLUNEN","W53AF"
"ZNF","NFD","Northfields","940GZZLUNFD","W139QU"
